1794	337	600	0.1878	0.3344	
216	63	100	0.2917	0.463	
580	365	432	0.6293	0.7448	
295	51	83	0.1729	0.2814	
242	104	140	0.4298	0.5785	
133	46	91	0.3459	0.6842	
785	219	357	0.279	0.4548	
430	110	201	0.2558	0.4674	
275	117	173	0.4255	0.6291	
777	176	265	0.2265	0.3411	
722	323	407	0.4474	0.5637	
644	128	233	0.1988	0.3618	
577	123	232	0.2132	0.4021	
454	75	167	0.1652	0.3678	
444	74	137	0.1667	0.3086	
581	32	44	0.0551	0.0757	
205	35	75	0.1707	0.3659	
538	393	443	0.7305	0.8234	
257	169	204	0.6576	0.7938	
346	122	151	0.3526	0.4364	
747	332	406	0.4444	0.5435	
499	96	169	0.1924	0.3387	
1439	657	824	0.4566	0.5726	
394	63	126	0.1599	0.3198	
254	64	104	0.252	0.4094	
550	84	184	0.1527	0.3345	
117	53	70	0.453	0.5983	
340	129	170	0.3794	0.5	
264	76	118	0.2879	0.447	
605	394	446	0.6512	0.7372	
288	175	217	0.6076	0.7535	
1134	684	797	0.6032	0.7028	
221	36	61	0.1629	0.276	
67	20	31	0.2985	0.4627	
454	156	233	0.3436	0.5132	
129	25	50	0.1938	0.3876	
825	290	445	0.3515	0.5394	
542	192	274	0.3542	0.5055	
665	233	329	0.3504	0.4947	
73	9	17	0.1233	0.2329	
361	126	153	0.349	0.4238	
306	40	88	0.1307	0.2876	
678	189	325	0.2788	0.4794	
211	75	90	0.3555	0.4265	
382	84	152	0.2199	0.3979	
1315	471	664	0.3582	0.5049	
111	47	48	0.4234	0.4324	
111	34	43	0.3063	0.3874	
348	224	253	0.6437	0.727	
185	53	94	0.2865	0.5081	
698	298	415	0.4269	0.5946	
389	90	158	0.2314	0.4062	
279	114	164	0.4086	0.5878	
331	73	125	0.2205	0.3776	
328	56	81	0.1707	0.247	
97	16	22	0.1649	0.2268	
99	41	66	0.4141	0.6667	
547	139	235	0.2541	0.4296	
278	90	131	0.3237	0.4712	
455	144	232	0.3165	0.5099	
226	31	49	0.1372	0.2168	
432	65	85	0.1505	0.1968	
1208	653	870	0.5406	0.7202	
1412	1274	1331	0.9023	0.9426	
237	68	127	0.2869	0.5359	
435	102	174	0.2345	0.4	
507	137	230	0.2702	0.4536	
293	97	157	0.3311	0.5358	
412	99	148	0.2403	0.3592	
136	88	104	0.6471	0.7647	
172	13	40	0.0756	0.2326	
365	65	136	0.1781	0.3726	
799	227	356	0.2841	0.4456	
1019	395	520	0.3876	0.5103	
616	80	154	0.1299	0.25	
176	35	72	0.1989	0.4091	
301	71	127	0.2359	0.4219	
1255	566	753	0.451	0.6	
743	123	227	0.1655	0.3055	
196	44	69	0.2245	0.352	
950	697	758	0.7337	0.7979	
906	146	213	0.1611	0.2351	
466	135	245	0.2897	0.5258	
1327	442	742	0.3331	0.5592	
291	43	96	0.1478	0.3299	
109	25	48	0.2294	0.4404	
514	223	310	0.4339	0.6031	
444	146	192	0.3288	0.4324	
296	62	127	0.2095	0.4291	
235	90	118	0.383	0.5021	
354	66	141	0.1864	0.3983	
250	141	167	0.564	0.668	
209	116	131	0.555	0.6268	
485	88	153	0.1814	0.3155	
1614	1468	1492	0.9095	0.9244	
462	158	219	0.342	0.474	
503	327	368	0.6501	0.7316	
561	118	209	0.2103	0.3725	
680	157	209	0.2309	0.3074	
205	59	94	0.2878	0.4585	
106	26	43	0.2453	0.4057	
464	145	231	0.3125	0.4978	
555	277	347	0.4991	0.6252	
235	35	44	0.1489	0.1872	
761	354	424	0.4652	0.5572	
705	350	441	0.4965	0.6255	
449	88	197	0.196	0.4388	
366	180	226	0.4918	0.6175	
346	184	238	0.5318	0.6879	
417	245	284	0.5875	0.6811	
556	103	193	0.1853	0.3471	
1135	707	809	0.6229	0.7128	
201	22	41	0.1095	0.204	
152	59	76	0.3882	0.5	
914	395	555	0.4322	0.6072	
178	36	78	0.2022	0.4382	
175	49	87	0.28	0.4971	
1465	1004	1110	0.6853	0.7577	
145	66	85	0.4552	0.5862	
824	109	208	0.1323	0.2524	
59	10	15	0.1695	0.2542	
328	111	163	0.3384	0.497	
150	27	40	0.18	0.2667	
300	112	176	0.3733	0.5867	
192	61	109	0.3177	0.5677	
736	177	275	0.2405	0.3736	
111	38	57	0.3423	0.5135	
817	289	444	0.3537	0.5435	
477	117	237	0.2453	0.4969	
243	40	83	0.1646	0.3416	
1410	737	929	0.5227	0.6589	
447	88	143	0.1969	0.3199	
258	58	114	0.2248	0.4419	
584	175	270	0.2997	0.4623	
256	88	119	0.3438	0.4648	
955	792	833	0.8293	0.8723	
623	109	224	0.175	0.3596	
1072	451	574	0.4207	0.5354	
728	284	386	0.3901	0.5302	
1150	479	624	0.4165	0.5426	
157	49	73	0.3121	0.465	
100	27	48	0.27	0.48	
252	155	173	0.6151	0.6865	
429	179	235	0.4172	0.5478	
478	128	168	0.2678	0.3515	
697	208	331	0.2984	0.4749	
142	51	77	0.3592	0.5423	
279	66	124	0.2366	0.4444	
1675	1308	1445	0.7809	0.8627	
703	213	304	0.303	0.4324	
181	25	44	0.1381	0.2431	
719	152	280	0.2114	0.3894	
240	93	104	0.3875	0.4333	
554	185	281	0.3339	0.5072	
839	588	654	0.7008	0.7795	
126	46	72	0.3651	0.5714	
1212	686	735	0.566	0.6064	
263	40	100	0.1521	0.3802	
86	51	58	0.593	0.6744	
744	601	642	0.8078	0.8629	
723	343	446	0.4744	0.6169	
783	474	536	0.6054	0.6845	
1141	424	629	0.3716	0.5513	
599	162	306	0.2705	0.5109	
